sampling_method,profile,aux_var,partitioning,budget,run_id,theta_hat,theta_true,failures_obs,execution_time
SUPS,P0,PC,none,100,23,0.1621734802149158,0.1116504854368931,30,0.000180291943252
SUPS,P0,PC,none,100,24,0.0946487068931405,0.1116504854368931,19,0.0001850416883826
SUPS,P0,PC,none,100,25,0.0739118749866957,0.1116504854368931,15,0.0001797922886908
SUPS,P0,PC,none,100,26,0.0707624333489086,0.1116504854368931,14,0.0001806248910725
SUPS,P0,PC,none,100,27,0.0608266607679563,0.1116504854368931,13,0.0001836670562624
SUPS,P0,PC,none,100,28,0.1565795940876506,0.1116504854368931,28,0.000189249869436
SUPS,P0,PC,none,100,29,0.0934151992536933,0.1116504854368931,19,0.0001823329366743
SUPS,P0,PC,none,100,30,0.1329457101623192,0.1116504854368931,25,0.000179374590516
SUPS,P0,PC,none,200,1,0.0788347346810621,0.1116504854368931,33,0.0002586250193417
SUPS,P0,PC,none,200,2,0.0998498528950523,0.1116504854368931,39,0.0002272501587867
SUPS,P0,PC,none,200,3,0.1089361706921455,0.1116504854368931,42,0.0002184999175369
SUPS,P0,PC,none,200,4,0.1379644612219643,0.1116504854368931,51,0.0002135001122951
SUPS,P0,PC,none,200,5,0.1413574353941588,0.1116504854368931,53,0.0002019172534346
SUPS,P0,PC,none,200,6,0.0824477036161725,0.1116504854368931,33,0.0002027503214776
SUPS,P0,PC,none,200,7,0.1004368930800103,0.1116504854368931,40,0.0001971670426428
SUPS,P0,PC,none,200,8,0.0995677372522525,0.1116504854368931,39,0.0001947921700775
SUPS,P0,PC,none,200,9,0.1276562834453162,0.1116504854368931,48,0.0001953328028321
SUPS,P0,PC,none,200,10,0.1265016847312268,0.1116504854368931,48,0.0002018748782575
SUPS,P0,PC,none,200,11,0.1259171158308309,0.1116504854368931,49,0.0001989579759538
SUPS,P0,PC,none,200,12,0.1137665587653976,0.1116504854368931,44,0.0001962077803909
SUPS,P0,PC,none,200,13,0.1165187537270727,0.1116504854368931,44,0.0002001668326556
SUPS,P0,PC,none,200,14,0.108323271160524,0.1116504854368931,42,0.0002103326842188
SUPS,P0,PC,none,200,15,0.110135969287704,0.1116504854368931,43,0.000203208066523
SUPS,P0,PC,none,200,16,0.1015754559696777,0.1116504854368931,40,0.0002079172991216
SUPS,P0,PC,none,200,17,0.1292654038599205,0.1116504854368931,49,0.0002032918855547
SUPS,P0,PC,none,200,18,0.1048815676582685,0.1116504854368931,39,0.0002011661417782
SUPS,P0,PC,none,200,19,0.1151688073753511,0.1116504854368931,44,0.0002004588022828
SUPS,P0,PC,none,200,20,0.0813481460968299,0.1116504854368931,33,0.0001982082612812
SUPS,P0,PC,none,200,21,0.1181666247631389,0.1116504854368931,45,0.0001948331482708
SUPS,P0,PC,none,200,22,0.1210497606812151,0.1116504854368931,47,0.0001954999752342
SUPS,P0,PC,none,200,23,0.1258585548920426,0.1116504854368931,48,0.0001940000802278
SUPS,P0,PC,none,200,24,0.1117074056863537,0.1116504854368931,42,0.0001945002004504
SUPS,P0,PC,none,200,25,0.0939653297382412,0.1116504854368931,35,0.0001952922903001
SUPS,P0,PC,none,200,26,0.1077511671765852,0.1116504854368931,43,0.0001957919448614
SUPS,P0,PC,none,200,27,0.1139607800580609,0.1116504854368931,43,0.0001949998550117
SUPS,P0,PC,none,200,28,0.1194531263271131,0.1116504854368931,49,0.0001962077803909
SUPS,P0,PC,none,200,29,0.1097836090548882,0.1116504854368931,42,0.0001959586516022
SUPS,P0,PC,none,200,30,0.1349907337290723,0.1116504854368931,51,0.0001919157803058
SUPS,P0,PC,none,300,1,0.0857051325177312,0.1116504854368931,52,0.0002248333767056
SUPS,P0,PC,none,300,2,0.1091549437347383,0.1116504854368931,63,0.0002194158732891
SUPS,P0,PC,none,300,3,0.0977060193387834,0.1116504854368931,55,0.0002109999768435
SUPS,P0,PC,none,300,4,0.1159701052022052,0.1116504854368931,69,0.0002150000073015
SUPS,P0,PC,none,300,5,0.0811424799426148,0.1116504854368931,47,0.0002206251956522
SUPS,P0,PC,none,300,6,0.0943053387336159,0.1116504854368931,56,0.000251917168498
SUPS,P0,PC,none,300,7,0.0932055765156516,0.1116504854368931,55,0.0002186670899391
SUPS,P0,PC,none,300,8,0.1162915831538527,0.1116504854368931,67,0.0002179159782826
SUPS,P0,PC,none,300,9,0.1431382071448118,0.1116504854368931,79,0.000214375089854
SUPS,P0,PC,none,300,10,0.119207031856584,0.1116504854368931,68,0.0002135001122951
SUPS,P0,PC,none,300,11,0.0979931033995137,0.1116504854368931,57,0.0002107922919094
SUPS,P0,PC,none,300,12,0.1026963190045282,0.1116504854368931,60,0.0002145832404494
SUPS,P0,PC,none,300,13,0.1484116313454662,0.1116504854368931,83,0.0002152081578969
SUPS,P0,PC,none,300,14,0.1080315601879988,0.1116504854368931,62,0.0002125832252204
SUPS,P0,PC,none,300,15,0.1123132973799884,0.1116504854368931,65,0.0002117077820003
SUPS,P0,PC,none,300,16,0.0970662940678815,0.1116504854368931,57,0.0002279593609273
SUPS,P0,PC,none,300,17,0.1186723831625062,0.1116504854368931,67,0.000762416049838
SUPS,P0,PC,none,300,18,0.1158569885154452,0.1116504854368931,67,0.0002888748422265
SUPS,P0,PC,none,300,19,0.1204550029862846,0.1116504854368931,70,0.0002369582653045
SUPS,P0,PC,none,300,20,0.0850966316140699,0.1116504854368931,53,0.0005827499553561
SUPS,P0,PC,none,300,21,0.1127501843548893,0.1116504854368931,64,0.0002608336508274
SUPS,P0,PC,none,300,22,0.1065053377618638,0.1116504854368931,61,0.0002470826730132
SUPS,P0,PC,none,300,23,0.1381722324572004,0.1116504854368931,77,0.0002327500842511
SUPS,P0,PC,none,300,24,0.1404186634318231,0.1116504854368931,76,0.0002266247756779
SUPS,P0,PC,none,300,25,0.1237320220045096,0.1116504854368931,69,0.0002270420081913
SUPS,P0,PC,none,300,26,0.0929917675390913,0.1116504854368931,54,0.0002248338423669
SUPS,P0,PC,none,300,27,0.1141739377310755,0.1116504854368931,66,0.0002251248806715
SUPS,P0,PC,none,300,28,0.0960401917312331,0.1116504854368931,57,0.0002259579487144
SUPS,P0,PC,none,300,29,0.1035455637124093,0.1116504854368931,61,0.0002241670154035
SUPS,P0,PC,none,300,30,0.1110980985927888,0.1116504854368931,65,0.000222582835704
SUPS,P0,PC,none,400,1,0.1157046883766742,0.1116504854368931,90,0.0002502077259123
SUPS,P0,PC,none,400,2,0.1244945887173857,0.1116504854368931,94,0.0002351249568164
SUPS,P0,PC,none,400,3,0.1097900335896056,0.1116504854368931,83,0.0002341247163712
SUPS,P0,PC,none,400,4,0.1282427285767483,0.1116504854368931,96,0.0002369577996432
SUPS,P0,PC,none,400,5,0.1146449061983935,0.1116504854368931,89,0.0002343328669667
SUPS,P0,PC,none,400,6,0.0940012893401108,0.1116504854368931,76,0.0002329587005078
