method,profile,aux_var,partitioning,budget,run,theta_hat,theta_true,failures_obs,execution_time
SRS,P0,None,none,200,6,0.115,0.11165048543689318,23,0.0009491443634033203
SRS,P0,None,none,200,7,0.125,0.11165048543689318,25,0.0007810592651367188
SRS,P0,None,none,200,8,0.115,0.11165048543689318,23,0.0007331371307373047
SRS,P0,None,none,200,9,0.125,0.11165048543689318,25,0.0009589195251464844
SRS,P0,None,none,200,10,0.115,0.11165048543689318,23,0.000820159912109375
SRS,P0,None,none,200,11,0.075,0.11165048543689318,15,0.0007255077362060547
SRS,P0,None,none,200,12,0.11,0.11165048543689318,22,0.0013248920440673828
SRS,P0,None,none,200,13,0.13,0.11165048543689318,26,0.001436471939086914
SRS,P0,None,none,200,14,0.14,0.11165048543689318,28,0.0010514259338378906
SRS,P0,None,none,200,15,0.105,0.11165048543689318,21,0.0008051395416259766
SRS,P0,None,none,200,16,0.095,0.11165048543689318,19,0.0012090206146240234
SRS,P0,None,none,200,17,0.105,0.11165048543689318,21,0.001466989517211914
SRS,P0,None,none,200,18,0.125,0.11165048543689318,25,0.0007448196411132812
SRS,P0,None,none,200,19,0.115,0.11165048543689318,23,0.0008392333984375
SRS,P0,None,none,200,20,0.085,0.11165048543689318,17,0.0010001659393310547
SRS,P0,None,none,200,21,0.12,0.11165048543689318,24,0.0009164810180664062
SRS,P0,None,none,200,22,0.07,0.11165048543689318,14,0.000896453857421875
SRS,P0,None,none,200,23,0.105,0.11165048543689318,21,0.0008645057678222656
SRS,P0,None,none,200,24,0.085,0.11165048543689318,17,0.0012776851654052734
SRS,P0,None,none,200,25,0.115,0.11165048543689318,23,0.0014538764953613281
SRS,P0,None,none,200,26,0.11,0.11165048543689318,22,0.0007121562957763672
SRS,P0,None,none,200,27,0.09,0.11165048543689318,18,0.0006487369537353516
SRS,P0,None,none,200,28,0.13,0.11165048543689318,26,0.0007824897766113281
SRS,P0,None,none,200,29,0.095,0.11165048543689318,19,0.0009286403656005859
SRS,P0,None,none,200,30,0.11,0.11165048543689318,22,0.0009872913360595703
SRS,P0,None,none,300,1,0.10666666666666667,0.11165048543689318,32,0.0009777545928955078
SRS,P0,None,none,300,2,0.09666666666666666,0.11165048543689318,29,0.0008394718170166016
SRS,P0,None,none,300,3,0.10333333333333333,0.11165048543689318,31,0.001180887222290039
SRS,P0,None,none,300,4,0.11333333333333333,0.11165048543689318,34,0.0007817745208740234
SRS,P0,None,none,300,5,0.11333333333333333,0.11165048543689318,34,0.0007359981536865234
SRS,P0,None,none,300,6,0.10666666666666667,0.11165048543689318,32,0.0009953975677490234
SRS,P0,None,none,300,7,0.11666666666666667,0.11165048543689318,35,0.0014958381652832031
SRS,P0,None,none,300,8,0.11,0.11165048543689318,33,0.0009646415710449219
SRS,P0,None,none,300,9,0.12333333333333334,0.11165048543689318,37,0.000919342041015625
SRS,P0,None,none,300,10,0.12,0.11165048543689318,36,0.0009639263153076172
SRS,P0,None,none,300,11,0.07666666666666666,0.11165048543689318,23,0.0009367465972900391
SRS,P0,None,none,300,12,0.11333333333333333,0.11165048543689318,34,0.001374959945678711
SRS,P0,None,none,300,13,0.12666666666666668,0.11165048543689318,38,0.000888824462890625
SRS,P0,None,none,300,14,0.13333333333333333,0.11165048543689318,40,0.0007102489471435547
SRS,P0,None,none,300,15,0.09333333333333334,0.11165048543689318,28,0.00093841552734375
SRS,P0,None,none,300,16,0.1,0.11165048543689318,30,0.0009353160858154297
SRS,P0,None,none,300,17,0.11333333333333333,0.11165048543689318,34,0.0009722709655761719
SRS,P0,None,none,300,18,0.14,0.11165048543689318,42,0.0016336441040039062
SRS,P0,None,none,300,19,0.11,0.11165048543689318,33,0.001430511474609375
SRS,P0,None,none,300,20,0.08666666666666667,0.11165048543689318,26,0.0010447502136230469
SRS,P0,None,none,300,21,0.13,0.11165048543689318,39,0.0007593631744384766
SRS,P0,None,none,300,22,0.09333333333333334,0.11165048543689318,28,0.0010209083557128906
SRS,P0,None,none,300,23,0.10333333333333333,0.11165048543689318,31,0.0009868144989013672
SRS,P0,None,none,300,24,0.10333333333333333,0.11165048543689318,31,0.001115560531616211
SRS,P0,None,none,300,25,0.11,0.11165048543689318,33,0.0015282630920410156
SRS,P0,None,none,300,26,0.11,0.11165048543689318,33,0.0007517337799072266
SRS,P0,None,none,300,27,0.1,0.11165048543689318,30,0.0007448196411132812
SRS,P0,None,none,300,28,0.11333333333333333,0.11165048543689318,34,0.0006690025329589844
SRS,P0,None,none,300,29,0.09,0.11165048543689318,27,0.0008864402770996094
SRS,P0,None,none,300,30,0.11666666666666667,0.11165048543689318,35,0.0014929771423339844
SRS,P0,None,none,400,1,0.115,0.11165048543689318,46,0.0010821819305419922
SRS,P0,None,none,400,2,0.1125,0.11165048543689318,45,0.0007944107055664062
SRS,P0,None,none,400,3,0.1075,0.11165048543689318,43,0.0007243156433105469
SRS,P0,None,none,400,4,0.1,0.11165048543689318,40,0.0009946823120117188
SRS,P0,None,none,400,5,0.11,0.11165048543689318,44,0.0009748935699462891
SRS,P0,None,none,400,6,0.1175,0.11165048543689318,47,0.0009350776672363281
SRS,P0,None,none,400,7,0.12,0.11165048543689318,48,0.001077413558959961
SRS,P0,None,none,400,8,0.1075,0.11165048543689318,43,0.0010495185852050781
SRS,P0,None,none,400,9,0.1125,0.11165048543689318,45,0.0007669925689697266
SRS,P0,None,none,400,10,0.1175,0.11165048543689318,47,0.0010602474212646484
SRS,P0,None,none,400,11,0.0925,0.11165048543689318,37,0.0010068416595458984
SRS,P0,None,none,400,12,0.1025,0.11165048543689318,41,0.0010104179382324219
SRS,P0,None,none,400,13,0.1125,0.11165048543689318,45,0.0009076595306396484
SRS,P0,None,none,400,14,0.125,0.11165048543689318,50,0.0010471343994140625
SRS,P0,None,none,400,15,0.095,0.11165048543689318,38,0.0008842945098876953
SRS,P0,None,none,400,16,0.1225,0.11165048543689318,49,0.0010156631469726562
SRS,P0,None,none,400,17,0.095,0.11165048543689318,38,0.0010592937469482422
SRS,P0,None,none,400,18,0.1175,0.11165048543689318,47,0.0009591579437255859
SRS,P0,None,none,400,19,0.12,0.11165048543689318,48,0.0008394718170166016
SRS,P0,None,none,400,20,0.105,0.11165048543689318,42,0.0011162757873535156
SRS,P0,None,none,400,21,0.115,0.11165048543689318,46,0.0008516311645507812
SRS,P0,None,none,400,22,0.0975,0.11165048543689318,39,0.0009822845458984375
SRS,P0,None,none,400,23,0.11,0.11165048543689318,44,0.0009737014770507812
SRS,P0,None,none,400,24,0.1025,0.11165048543689318,41,0.0009448528289794922
SRS,P0,None,none,400,25,0.12,0.11165048543689318,48,0.0009584426879882812
SRS,P0,None,none,400,26,0.1,0.11165048543689318,40,0.0016126632690429688
SRS,P0,None,none,400,27,0.12,0.11165048543689318,48,0.001100778579711914
SRS,P0,None,none,400,28,0.11,0.11165048543689318,44,0.0009875297546386719
SRS,P0,None,none,400,29,0.0975,0.11165048543689318,39,0.0011038780212402344
SRS,P0,None,none,400,30,0.12,0.11165048543689318,48,0.0007812976837158203
SRS,P0,None,none,50,1,0.14,0.11165048543689318,7,0.0014805793762207031
SRS,P0,None,none,50,2,0.06,0.11165048543689318,3,0.0007901191711425781
SRS,P0,None,none,50,3,0.14,0.11165048543689318,7,0.0008928775787353516
SRS,P0,None,none,50,4,0.24,0.11165048543689318,12,0.0008676052093505859
SRS,P0,None,none,50,5,0.1,0.11165048543689318,5,0.000904083251953125
SRS,P0,None,none,50,6,0.08,0.11165048543689318,4,0.0011110305786132812
SRS,P0,None,none,50,7,0.12,0.11165048543689318,6,0.0010747909545898438
SRS,P0,None,none,50,8,0.1,0.11165048543689318,5,0.0008769035339355469
